city_name,DOY,risk_type,window_days,probability
Dera Ghazi Khan,4,heavy_rain,90,0.0
Dera Ghazi Khan,5,frost,15,0.04
Dera Ghazi Khan,5,heat_stress,15,0.0
Dera Ghazi Khan,5,heavy_rain,15,0.0
Dera Ghazi Khan,5,frost,30,0.08
Dera Ghazi Khan,5,heat_stress,30,0.0
Dera Ghazi Khan,5,heavy_rain,30,0.0
Dera Ghazi Khan,5,frost,45,0.08
Dera Ghazi Khan,5,heat_stress,45,0.0
Dera Ghazi Khan,5,heavy_rain,45,0.0
Dera Ghazi Khan,5,frost,60,0.08
Dera Ghazi Khan,5,heat_stress,60,0.0
Dera Ghazi Khan,5,heavy_rain,60,0.0
Dera Ghazi Khan,5,frost,90,0.08
Dera Ghazi Khan,5,heat_stress,90,0.32
Dera Ghazi Khan,5,heavy_rain,90,0.0
Dera Ghazi Khan,6,frost,15,0.04
Dera Ghazi Khan,6,heat_stress,15,0.0
Dera Ghazi Khan,6,heavy_rain,15,0.0
Dera Ghazi Khan,6,frost,30,0.08
Dera Ghazi Khan,6,heat_stress,30,0.0
Dera Ghazi Khan,6,heavy_rain,30,0.0
Dera Ghazi Khan,6,frost,45,0.08
Dera Ghazi Khan,6,heat_stress,45,0.0
Dera Ghazi Khan,6,heavy_rain,45,0.0
Dera Ghazi Khan,6,frost,60,0.08
Dera Ghazi Khan,6,heat_stress,60,0.0
Dera Ghazi Khan,6,heavy_rain,60,0.0
Dera Ghazi Khan,6,frost,90,0.08
Dera Ghazi Khan,6,heat_stress,90,0.4
Dera Ghazi Khan,6,heavy_rain,90,0.0
Dera Ghazi Khan,7,frost,15,0.0
Dera Ghazi Khan,7,heat_stress,15,0.0
Dera Ghazi Khan,7,heavy_rain,15,0.0
Dera Ghazi Khan,7,frost,30,0.04
Dera Ghazi Khan,7,heat_stress,30,0.0
Dera Ghazi Khan,7,heavy_rain,30,0.0
Dera Ghazi Khan,7,frost,45,0.04
Dera Ghazi Khan,7,heat_stress,45,0.0
Dera Ghazi Khan,7,heavy_rain,45,0.0
Dera Ghazi Khan,7,frost,60,0.04
Dera Ghazi Khan,7,heat_stress,60,0.0
Dera Ghazi Khan,7,heavy_rain,60,0.0
Dera Ghazi Khan,7,frost,90,0.04
Dera Ghazi Khan,7,heat_stress,90,0.4
Dera Ghazi Khan,7,heavy_rain,90,0.0
Dera Ghazi Khan,8,frost,15,0.0
Dera Ghazi Khan,8,heat_stress,15,0.0
Dera Ghazi Khan,8,heavy_rain,15,0.0
Dera Ghazi Khan,8,frost,30,0.04
Dera Ghazi Khan,8,heat_stress,30,0.0
Dera Ghazi Khan,8,heavy_rain,30,0.0
Dera Ghazi Khan,8,frost,45,0.04
Dera Ghazi Khan,8,heat_stress,45,0.0
Dera Ghazi Khan,8,heavy_rain,45,0.0
Dera Ghazi Khan,8,frost,60,0.04
Dera Ghazi Khan,8,heat_stress,60,0.0
Dera Ghazi Khan,8,heavy_rain,60,0.0
Dera Ghazi Khan,8,frost,90,0.04
Dera Ghazi Khan,8,heat_stress,90,0.52
Dera Ghazi Khan,8,heavy_rain,90,0.0
Dera Ghazi Khan,9,frost,15,0.0
Dera Ghazi Khan,9,heat_stress,15,0.0
Dera Ghazi Khan,9,heavy_rain,15,0.0
Dera Ghazi Khan,9,frost,30,0.04
Dera Ghazi Khan,9,heat_stress,30,0.0
Dera Ghazi Khan,9,heavy_rain,30,0.0
Dera Ghazi Khan,9,frost,45,0.04
Dera Ghazi Khan,9,heat_stress,45,0.0
Dera Ghazi Khan,9,heavy_rain,45,0.0
Dera Ghazi Khan,9,frost,60,0.04
Dera Ghazi Khan,9,heat_stress,60,0.0
Dera Ghazi Khan,9,heavy_rain,60,0.0
Dera Ghazi Khan,9,frost,90,0.04
Dera Ghazi Khan,9,heat_stress,90,0.52
Dera Ghazi Khan,9,heavy_rain,90,0.0
Dera Ghazi Khan,10,frost,15,0.04
Dera Ghazi Khan,10,heat_stress,15,0.0
Dera Ghazi Khan,10,heavy_rain,15,0.0
Dera Ghazi Khan,10,frost,30,0.04
Dera Ghazi Khan,10,heat_stress,30,0.0
Dera Ghazi Khan,10,heavy_rain,30,0.0
Dera Ghazi Khan,10,frost,45,0.04
Dera Ghazi Khan,10,heat_stress,45,0.0
Dera Ghazi Khan,10,heavy_rain,45,0.0
Dera Ghazi Khan,10,frost,60,0.04
Dera Ghazi Khan,10,heat_stress,60,0.0
Dera Ghazi Khan,10,heavy_rain,60,0.0
Dera Ghazi Khan,10,frost,90,0.04
Dera Ghazi Khan,10,heat_stress,90,0.52
Dera Ghazi Khan,10,heavy_rain,90,0.0
Dera Ghazi Khan,11,frost,15,0.04
Dera Ghazi Khan,11,heat_stress,15,0.0
Dera Ghazi Khan,11,heavy_rain,15,0.0
Dera Ghazi Khan,11,frost,30,0.04
Dera Ghazi Khan,11,heat_stress,30,0.0
Dera Ghazi Khan,11,heavy_rain,30,0.0
Dera Ghazi Khan,11,frost,45,0.04
Dera Ghazi Khan,11,heat_stress,45,0.0
Dera Ghazi Khan,11,heavy_rain,45,0.0
Dera Ghazi Khan,11,frost,60,0.04
Dera Ghazi Khan,11,heat_stress,60,0.0
Dera Ghazi Khan,11,heavy_rain,60,0.0
Dera Ghazi Khan,11,frost,90,0.04
Dera Ghazi Khan,11,heat_stress,90,0.6
Dera Ghazi Khan,11,heavy_rain,90,0.0
Dera Ghazi Khan,12,frost,15,0.04
Dera Ghazi Khan,12,heat_stress,15,0.0
Dera Ghazi Khan,12,heavy_rain,15,0.0
Dera Ghazi Khan,12,frost,30,0.04
Dera Ghazi Khan,12,heat_stress,30,0.0
Dera Ghazi Khan,12,heavy_rain,30,0.0
Dera Ghazi Khan,12,frost,45,0.04
Dera Ghazi Khan,12,heat_stress,45,0.0
Dera Ghazi Khan,12,heavy_rain,45,0.0
Dera Ghazi Khan,12,frost,60,0.04
Dera Ghazi Khan,12,heat_stress,60,0.0
Dera Ghazi Khan,12,heavy_rain,60,0.0
Dera Ghazi Khan,12,frost,90,0.04
Dera Ghazi Khan,12,heat_stress,90,0.6
Dera Ghazi Khan,12,heavy_rain,90,0.0
Dera Ghazi Khan,13,frost,15,0.04
Dera Ghazi Khan,13,heat_stress,15,0.0
Dera Ghazi Khan,13,heavy_rain,15,0.0
Dera Ghazi Khan,13,frost,30,0.04
Dera Ghazi Khan,13,heat_stress,30,0.0
Dera Ghazi Khan,13,heavy_rain,30,0.0
Dera Ghazi Khan,13,frost,45,0.04
Dera Ghazi Khan,13,heat_stress,45,0.0
Dera Ghazi Khan,13,heavy_rain,45,0.0
Dera Ghazi Khan,13,frost,60,0.04
Dera Ghazi Khan,13,heat_stress,60,0.0
Dera Ghazi Khan,13,heavy_rain,60,0.0
Dera Ghazi Khan,13,frost,90,0.04
Dera Ghazi Khan,13,heat_stress,90,0.68
Dera Ghazi Khan,13,heavy_rain,90,0.0
Dera Ghazi Khan,14,frost,15,0.04
Dera Ghazi Khan,14,heat_stress,15,0.0
Dera Ghazi Khan,14,heavy_rain,15,0.0
Dera Ghazi Khan,14,frost,30,0.04
Dera Ghazi Khan,14,heat_stress,30,0.0
Dera Ghazi Khan,14,heavy_rain,30,0.0
Dera Ghazi Khan,14,frost,45,0.04
Dera Ghazi Khan,14,heat_stress,45,0.0
Dera Ghazi Khan,14,heavy_rain,45,0.0
Dera Ghazi Khan,14,frost,60,0.04
Dera Ghazi Khan,14,heat_stress,60,0.0
Dera Ghazi Khan,14,heavy_rain,60,0.0
Dera Ghazi Khan,14,frost,90,0.04
Dera Ghazi Khan,14,heat_stress,90,0.68
Dera Ghazi Khan,14,heavy_rain,90,0.0
Dera Ghazi Khan,15,frost,15,0.04
Dera Ghazi Khan,15,heat_stress,15,0.0
Dera Ghazi Khan,15,heavy_rain,15,0.0
Dera Ghazi Khan,15,frost,30,0.04
Dera Ghazi Khan,15,heat_stress,30,0.0
Dera Ghazi Khan,15,heavy_rain,30,0.0
Dera Ghazi Khan,15,frost,45,0.04
Dera Ghazi Khan,15,heat_stress,45,0.0
Dera Ghazi Khan,15,heavy_rain,45,0.0
Dera Ghazi Khan,15,frost,60,0.04
Dera Ghazi Khan,15,heat_stress,60,0.0
Dera Ghazi Khan,15,heavy_rain,60,0.0
Dera Ghazi Khan,15,frost,90,0.04
Dera Ghazi Khan,15,heat_stress,90,0.72
Dera Ghazi Khan,15,heavy_rain,90,0.0
Dera Ghazi Khan,16,frost,15,0.04
Dera Ghazi Khan,16,heat_stress,15,0.0
Dera Ghazi Khan,16,heavy_rain,15,0.0
Dera Ghazi Khan,16,frost,30,0.04
Dera Ghazi Khan,16,heat_stress,30,0.0
Dera Ghazi Khan,16,heavy_rain,30,0.0
Dera Ghazi Khan,16,frost,45,0.04
Dera Ghazi Khan,16,heat_stress,45,0.0
Dera Ghazi Khan,16,heavy_rain,45,0.0
Dera Ghazi Khan,16,frost,60,0.04
Dera Ghazi Khan,16,heat_stress,60,0.0
Dera Ghazi Khan,16,heavy_rain,60,0.0
Dera Ghazi Khan,16,frost,90,0.04
Dera Ghazi Khan,16,heat_stress,90,0.72
Dera Ghazi Khan,16,heavy_rain,90,0.0
Dera Ghazi Khan,17,frost,15,0.04
Dera Ghazi Khan,17,heat_stress,15,0.0
Dera Ghazi Khan,17,heavy_rain,15,0.0
Dera Ghazi Khan,17,frost,30,0.04
Dera Ghazi Khan,17,heat_stress,30,0.0
Dera Ghazi Khan,17,heavy_rain,30,0.0
Dera Ghazi Khan,17,frost,45,0.04
Dera Ghazi Khan,17,heat_stress,45,0.0
Dera Ghazi Khan,17,heavy_rain,45,0.0
Dera Ghazi Khan,17,frost,60,0.04
Dera Ghazi Khan,17,heat_stress,60,0.08
Dera Ghazi Khan,17,heavy_rain,60,0.0
Dera Ghazi Khan,17,frost,90,0.04
Dera Ghazi Khan,17,heat_stress,90,0.76
Dera Ghazi Khan,17,heavy_rain,90,0.0
Dera Ghazi Khan,18,frost,15,0.04
Dera Ghazi Khan,18,heat_stress,15,0.0
Dera Ghazi Khan,18,heavy_rain,15,0.0
Dera Ghazi Khan,18,frost,30,0.04
Dera Ghazi Khan,18,heat_stress,30,0.0
Dera Ghazi Khan,18,heavy_rain,30,0.0
Dera Ghazi Khan,18,frost,45,0.04
Dera Ghazi Khan,18,heat_stress,45,0.0
Dera Ghazi Khan,18,heavy_rain,45,0.0
Dera Ghazi Khan,18,frost,60,0.04
Dera Ghazi Khan,18,heat_stress,60,0.08
Dera Ghazi Khan,18,heavy_rain,60,0.0
Dera Ghazi Khan,18,frost,90,0.04
Dera Ghazi Khan,18,heat_stress,90,0.76
Dera Ghazi Khan,18,heavy_rain,90,0.0
Dera Ghazi Khan,19,frost,15,0.04
Dera Ghazi Khan,19,heat_stress,15,0.0
Dera Ghazi Khan,19,heavy_rain,15,0.0
Dera Ghazi Khan,19,frost,30,0.04
Dera Ghazi Khan,19,heat_stress,30,0.0
Dera Ghazi Khan,19,heavy_rain,30,0.0
Dera Ghazi Khan,19,frost,45,0.04
Dera Ghazi Khan,19,heat_stress,45,0.0
Dera Ghazi Khan,19,heavy_rain,45,0.0
Dera Ghazi Khan,19,frost,60,0.04
Dera Ghazi Khan,19,heat_stress,60,0.08
Dera Ghazi Khan,19,heavy_rain,60,0.0
Dera Ghazi Khan,19,frost,90,0.04
Dera Ghazi Khan,19,heat_stress,90,0.76
Dera Ghazi Khan,19,heavy_rain,90,0.0
Dera Ghazi Khan,20,frost,15,0.04
Dera Ghazi Khan,20,heat_stress,15,0.0
Dera Ghazi Khan,20,heavy_rain,15,0.0
Dera Ghazi Khan,20,frost,30,0.04
Dera Ghazi Khan,20,heat_stress,30,0.0
Dera Ghazi Khan,20,heavy_rain,30,0.0
Dera Ghazi Khan,20,frost,45,0.04
Dera Ghazi Khan,20,heat_stress,45,0.0
Dera Ghazi Khan,20,heavy_rain,45,0.0
Dera Ghazi Khan,20,frost,60,0.04
Dera Ghazi Khan,20,heat_stress,60,0.08
Dera Ghazi Khan,20,heavy_rain,60,0.0
Dera Ghazi Khan,20,frost,90,0.04
Dera Ghazi Khan,20,heat_stress,90,0.84
Dera Ghazi Khan,20,heavy_rain,90,0.0
Dera Ghazi Khan,21,frost,15,0.04
Dera Ghazi Khan,21,heat_stress,15,0.0
Dera Ghazi Khan,21,heavy_rain,15,0.0
Dera Ghazi Khan,21,frost,30,0.04
Dera Ghazi Khan,21,heat_stress,30,0.0
Dera Ghazi Khan,21,heavy_rain,30,0.0
Dera Ghazi Khan,21,frost,45,0.04
Dera Ghazi Khan,21,heat_stress,45,0.0
Dera Ghazi Khan,21,heavy_rain,45,0.0
Dera Ghazi Khan,21,frost,60,0.04
Dera Ghazi Khan,21,heat_stress,60,0.12
Dera Ghazi Khan,21,heavy_rain,60,0.0
Dera Ghazi Khan,21,frost,90,0.04
Dera Ghazi Khan,21,heat_stress,90,0.84
Dera Ghazi Khan,21,heavy_rain,90,0.0
Dera Ghazi Khan,22,frost,15,0.04
Dera Ghazi Khan,22,heat_stress,15,0.0
Dera Ghazi Khan,22,heavy_rain,15,0.0
Dera Ghazi Khan,22,frost,30,0.04
Dera Ghazi Khan,22,heat_stress,30,0.0
Dera Ghazi Khan,22,heavy_rain,30,0.0
Dera Ghazi Khan,22,frost,45,0.04
Dera Ghazi Khan,22,heat_stress,45,0.0
Dera Ghazi Khan,22,heavy_rain,45,0.0
Dera Ghazi Khan,22,frost,60,0.04
Dera Ghazi Khan,22,heat_stress,60,0.12
Dera Ghazi Khan,22,heavy_rain,60,0.0
Dera Ghazi Khan,22,frost,90,0.04
Dera Ghazi Khan,22,heat_stress,90,0.84
Dera Ghazi Khan,22,heavy_rain,90,0.0
Dera Ghazi Khan,23,frost,15,0.04
Dera Ghazi Khan,23,heat_stress,15,0.0
Dera Ghazi Khan,23,heavy_rain,15,0.0
Dera Ghazi Khan,23,frost,30,0.04
Dera Ghazi Khan,23,heat_stress,30,0.0
Dera Ghazi Khan,23,heavy_rain,30,0.0
Dera Ghazi Khan,23,frost,45,0.04
Dera Ghazi Khan,23,heat_stress,45,0.0
Dera Ghazi Khan,23,heavy_rain,45,0.0
Dera Ghazi Khan,23,frost,60,0.04
Dera Ghazi Khan,23,heat_stress,60,0.12
Dera Ghazi Khan,23,heavy_rain,60,0.0
Dera Ghazi Khan,23,frost,90,0.04
Dera Ghazi Khan,23,heat_stress,90,0.88
Dera Ghazi Khan,23,heavy_rain,90,0.0
Dera Ghazi Khan,24,frost,15,0.04
Dera Ghazi Khan,24,heat_stress,15,0.0
Dera Ghazi Khan,24,heavy_rain,15,0.0
Dera Ghazi Khan,24,frost,30,0.04
Dera Ghazi Khan,24,heat_stress,30,0.0
Dera Ghazi Khan,24,heavy_rain,30,0.0
Dera Ghazi Khan,24,frost,45,0.04
Dera Ghazi Khan,24,heat_stress,45,0.0
Dera Ghazi Khan,24,heavy_rain,45,0.0
Dera Ghazi Khan,24,frost,60,0.04
Dera Ghazi Khan,24,heat_stress,60,0.12
Dera Ghazi Khan,24,heavy_rain,60,0.0
Dera Ghazi Khan,24,frost,90,0.04
Dera Ghazi Khan,24,heat_stress,90,0.88
Dera Ghazi Khan,24,heavy_rain,90,0.0
Dera Ghazi Khan,25,frost,15,0.0
Dera Ghazi Khan,25,heat_stress,15,0.0
Dera Ghazi Khan,25,heavy_rain,15,0.0
Dera Ghazi Khan,25,frost,30,0.0
Dera Ghazi Khan,25,heat_stress,30,0.0
Dera Ghazi Khan,25,heavy_rain,30,0.0
Dera Ghazi Khan,25,frost,45,0.0
Dera Ghazi Khan,25,heat_stress,45,0.0
Dera Ghazi Khan,25,heavy_rain,45,0.0
Dera Ghazi Khan,25,frost,60,0.0
Dera Ghazi Khan,25,heat_stress,60,0.12
Dera Ghazi Khan,25,heavy_rain,60,0.0
Dera Ghazi Khan,25,frost,90,0.0
Dera Ghazi Khan,25,heat_stress,90,0.88
Dera Ghazi Khan,25,heavy_rain,90,0.0
Dera Ghazi Khan,26,frost,15,0.0
Dera Ghazi Khan,26,heat_stress,15,0.0
Dera Ghazi Khan,26,heavy_rain,15,0.0
Dera Ghazi Khan,26,frost,30,0.0
Dera Ghazi Khan,26,heat_stress,30,0.0
Dera Ghazi Khan,26,heavy_rain,30,0.0
Dera Ghazi Khan,26,frost,45,0.0
Dera Ghazi Khan,26,heat_stress,45,0.0
Dera Ghazi Khan,26,heavy_rain,45,0.0
Dera Ghazi Khan,26,frost,60,0.0
Dera Ghazi Khan,26,heat_stress,60,0.12
Dera Ghazi Khan,26,heavy_rain,60,0.0
Dera Ghazi Khan,26,frost,90,0.0
Dera Ghazi Khan,26,heat_stress,90,0.88
Dera Ghazi Khan,26,heavy_rain,90,0.0
Dera Ghazi Khan,27,frost,15,0.0
Dera Ghazi Khan,27,heat_stress,15,0.0
Dera Ghazi Khan,27,heavy_rain,15,0.0
Dera Ghazi Khan,27,frost,30,0.0
Dera Ghazi Khan,27,heat_stress,30,0.0
Dera Ghazi Khan,27,heavy_rain,30,0.0
Dera Ghazi Khan,27,frost,45,0.0
Dera Ghazi Khan,27,heat_stress,45,0.0
Dera Ghazi Khan,27,heavy_rain,45,0.0
Dera Ghazi Khan,27,frost,60,0.0
Dera Ghazi Khan,27,heat_stress,60,0.16
Dera Ghazi Khan,27,heavy_rain,60,0.0
Dera Ghazi Khan,27,frost,90,0.0
Dera Ghazi Khan,27,heat_stress,90,0.88
Dera Ghazi Khan,27,heavy_rain,90,0.0
Dera Ghazi Khan,28,frost,15,0.0
Dera Ghazi Khan,28,heat_stress,15,0.0
Dera Ghazi Khan,28,heavy_rain,15,0.0
Dera Ghazi Khan,28,frost,30,0.0
Dera Ghazi Khan,28,heat_stress,30,0.0
Dera Ghazi Khan,28,heavy_rain,30,0.0
Dera Ghazi Khan,28,frost,45,0.0
Dera Ghazi Khan,28,heat_stress,45,0.0
Dera Ghazi Khan,28,heavy_rain,45,0.0
Dera Ghazi Khan,28,frost,60,0.0
Dera Ghazi Khan,28,heat_stress,60,0.16
Dera Ghazi Khan,28,heavy_rain,60,0.0
Dera Ghazi Khan,28,frost,90,0.0
Dera Ghazi Khan,28,heat_stress,90,0.92
Dera Ghazi Khan,28,heavy_rain,90,0.0
Dera Ghazi Khan,29,frost,15,0.0
Dera Ghazi Khan,29,heat_stress,15,0.0
Dera Ghazi Khan,29,heavy_rain,15,0.0
Dera Ghazi Khan,29,frost,30,0.0
Dera Ghazi Khan,29,heat_stress,30,0.0
Dera Ghazi Khan,29,heavy_rain,30,0.0
Dera Ghazi Khan,29,frost,45,0.0
Dera Ghazi Khan,29,heat_stress,45,0.0
Dera Ghazi Khan,29,heavy_rain,45,0.0
Dera Ghazi Khan,29,frost,60,0.0
Dera Ghazi Khan,29,heat_stress,60,0.24
Dera Ghazi Khan,29,heavy_rain,60,0.0
Dera Ghazi Khan,29,frost,90,0.0
Dera Ghazi Khan,29,heat_stress,90,0.96
Dera Ghazi Khan,29,heavy_rain,90,0.0
Dera Ghazi Khan,30,frost,15,0.0
Dera Ghazi Khan,30,heat_stress,15,0.0
Dera Ghazi Khan,30,heavy_rain,15,0.0
Dera Ghazi Khan,30,frost,30,0.0
Dera Ghazi Khan,30,heat_stress,30,0.0
Dera Ghazi Khan,30,heavy_rain,30,0.0
Dera Ghazi Khan,30,frost,45,0.0
Dera Ghazi Khan,30,heat_stress,45,0.0
Dera Ghazi Khan,30,heavy_rain,45,0.0
Dera Ghazi Khan,30,frost,60,0.0
Dera Ghazi Khan,30,heat_stress,60,0.28
Dera Ghazi Khan,30,heavy_rain,60,0.0
Dera Ghazi Khan,30,frost,90,0.0
Dera Ghazi Khan,30,heat_stress,90,0.96
Dera Ghazi Khan,30,heavy_rain,90,0.0
Dera Ghazi Khan,31,frost,15,0.0
Dera Ghazi Khan,31,heat_stress,15,0.0
Dera Ghazi Khan,31,heavy_rain,15,0.0
Dera Ghazi Khan,31,frost,30,0.0
Dera Ghazi Khan,31,heat_stress,30,0.0
Dera Ghazi Khan,31,heavy_rain,30,0.0
Dera Ghazi Khan,31,frost,45,0.0
Dera Ghazi Khan,31,heat_stress,45,0.0
Dera Ghazi Khan,31,heavy_rain,45,0.0
Dera Ghazi Khan,31,frost,60,0.0
Dera Ghazi Khan,31,heat_stress,60,0.28
Dera Ghazi Khan,31,heavy_rain,60,0.0
Dera Ghazi Khan,31,frost,90,0.0
Dera Ghazi Khan,31,heat_stress,90,0.96
Dera Ghazi Khan,31,heavy_rain,90,0.0
Dera Ghazi Khan,32,frost,15,0.0
Dera Ghazi Khan,32,heat_stress,15,0.0
Dera Ghazi Khan,32,heavy_rain,15,0.0
Dera Ghazi Khan,32,frost,30,0.0
Dera Ghazi Khan,32,heat_stress,30,0.0
Dera Ghazi Khan,32,heavy_rain,30,0.0
Dera Ghazi Khan,32,frost,45,0.0
Dera Ghazi Khan,32,heat_stress,45,0.08
Dera Ghazi Khan,32,heavy_rain,45,0.0
Dera Ghazi Khan,32,frost,60,0.0
Dera Ghazi Khan,32,heat_stress,60,0.28
Dera Ghazi Khan,32,heavy_rain,60,0.0
Dera Ghazi Khan,32,frost,90,0.0
Dera Ghazi Khan,32,heat_stress,90,0.96
Dera Ghazi Khan,32,heavy_rain,90,0.0
Dera Ghazi Khan,33,frost,15,0.0
Dera Ghazi Khan,33,heat_stress,15,0.0
Dera Ghazi Khan,33,heavy_rain,15,0.0
Dera Ghazi Khan,33,frost,30,0.0
Dera Ghazi Khan,33,heat_stress,30,0.0
Dera Ghazi Khan,33,heavy_rain,30,0.0
Dera Ghazi Khan,33,frost,45,0.0
Dera Ghazi Khan,33,heat_stress,45,0.08
Dera Ghazi Khan,33,heavy_rain,45,0.0
Dera Ghazi Khan,33,frost,60,0.0
Dera Ghazi Khan,33,heat_stress,60,0.28
Dera Ghazi Khan,33,heavy_rain,60,0.0
Dera Ghazi Khan,33,frost,90,0.0
Dera Ghazi Khan,33,heat_stress,90,1.0
Dera Ghazi Khan,33,heavy_rain,90,0.0
Dera Ghazi Khan,34,frost,15,0.0
Dera Ghazi Khan,34,heat_stress,15,0.0
Dera Ghazi Khan,34,heavy_rain,15,0.0
Dera Ghazi Khan,34,frost,30,0.0
Dera Ghazi Khan,34,heat_stress,30,0.0
Dera Ghazi Khan,34,heavy_rain,30,0.0
Dera Ghazi Khan,34,frost,45,0.0
Dera Ghazi Khan,34,heat_stress,45,0.08
Dera Ghazi Khan,34,heavy_rain,45,0.0
Dera Ghazi Khan,34,frost,60,0.0
Dera Ghazi Khan,34,heat_stress,60,0.28
Dera Ghazi Khan,34,heavy_rain,60,0.0
Dera Ghazi Khan,34,frost,90,0.0
Dera Ghazi Khan,34,heat_stress,90,1.0
Dera Ghazi Khan,34,heavy_rain,90,0.0
Dera Ghazi Khan,35,frost,15,0.0
Dera Ghazi Khan,35,heat_stress,15,0.0
Dera Ghazi Khan,35,heavy_rain,15,0.0
Dera Ghazi Khan,35,frost,30,0.0
Dera Ghazi Khan,35,heat_stress,30,0.0
Dera Ghazi Khan,35,heavy_rain,30,0.0
Dera Ghazi Khan,35,frost,45,0.0
Dera Ghazi Khan,35,heat_stress,45,0.08
Dera Ghazi Khan,35,heavy_rain,45,0.0
Dera Ghazi Khan,35,frost,60,0.0
Dera Ghazi Khan,35,heat_stress,60,0.32
Dera Ghazi Khan,35,heavy_rain,60,0.0
Dera Ghazi Khan,35,frost,90,0.0
Dera Ghazi Khan,35,heat_stress,90,1.0
Dera Ghazi Khan,35,heavy_rain,90,0.0
Dera Ghazi Khan,36,frost,15,0.0
Dera Ghazi Khan,36,heat_stress,15,0.0
Dera Ghazi Khan,36,heavy_rain,15,0.0
Dera Ghazi Khan,36,frost,30,0.0
Dera Ghazi Khan,36,heat_stress,30,0.0
Dera Ghazi Khan,36,heavy_rain,30,0.0
Dera Ghazi Khan,36,frost,45,0.0
Dera Ghazi Khan,36,heat_stress,45,0.12
Dera Ghazi Khan,36,heavy_rain,45,0.0
Dera Ghazi Khan,36,frost,60,0.0
Dera Ghazi Khan,36,heat_stress,60,0.4
Dera Ghazi Khan,36,heavy_rain,60,0.0
Dera Ghazi Khan,36,frost,90,0.0
Dera Ghazi Khan,36,heat_stress,90,1.0
Dera Ghazi Khan,36,heavy_rain,90,0.0
Dera Ghazi Khan,37,frost,15,0.0
Dera Ghazi Khan,37,heat_stress,15,0.0
Dera Ghazi Khan,37,heavy_rain,15,0.0
Dera Ghazi Khan,37,frost,30,0.0
Dera Ghazi Khan,37,heat_stress,30,0.0
Dera Ghazi Khan,37,heavy_rain,30,0.0
Dera Ghazi Khan,37,frost,45,0.0
Dera Ghazi Khan,37,heat_stress,45,0.12
Dera Ghazi Khan,37,heavy_rain,45,0.0
Dera Ghazi Khan,37,frost,60,0.0
